,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
142,2022-02-24,948.8216326169812,817.7064579920653,1054.5185124211132,948.8216326169812,948.8216326169812,-13.668964899937455,-13.668964899937455,-13.668964899937455,-13.668964899937455,-13.668964899937455,-13.668964899937455,0.0,0.0,0.0,935.1526677170438
143,2022-02-25,947.4538647330495,796.6977986765414,1049.7217969846224,947.4538647330495,947.4538647330495,-16.944190502575115,-16.944190502575115,-16.944190502575115,-16.944190502575115,-16.944190502575115,-16.944190502575115,0.0,0.0,0.0,930.5096742304744
144,2022-02-28,943.3505610812546,821.8517403456793,1063.007102887788,943.3505610812546,943.3505610812546,0.4507663412503742,0.4507663412503742,0.4507663412503742,0.4507663412503742,0.4507663412503742,0.4507663412503742,0.0,0.0,0.0,943.801327422505
145,2022-03-01,941.9827931328558,807.7661670801397,1064.8597122737424,941.9827931328558,941.9827931328558,-7.5199757939307235,-7.5199757939307235,-7.5199757939307235,-7.5199757939307235,-7.5199757939307235,-7.5199757939307235,0.0,0.0,0.0,934.4628173389251
146,2022-03-02,940.615025184457,813.5000255199506,1054.618704192117,940.615025184457,940.615025184457,-7.317853996980985,-7.317853996980985,-7.317853996980985,-7.317853996980985,-7.317853996980985,-7.317853996980985,0.0,0.0,0.0,933.297171187476
147,2022-03-03,939.2472572360582,798.8120400640593,1049.293339800973,939.2472572360582,939.2472572360582,-13.668964899893718,-13.668964899893718,-13.668964899893718,-13.668964899893718,-13.668964899893718,-13.668964899893718,0.0,0.0,0.0,925.5782923361645
148,2022-03-04,937.8794892876593,793.5649676789599,1045.0231536652368,937.8794892876593,937.8794892876593,-16.944190502557632,-16.944190502557632,-16.944190502557632,-16.944190502557632,-16.944190502557632,-16.944190502557632,0.0,0.0,0.0,920.9352987851017
149,2022-03-07,933.7761854424632,812.1035755914114,1057.6141846336982,933.7761854424632,933.7761854424632,0.4507663412552424,0.4507663412552424,0.4507663412552424,0.4507663412552424,0.4507663412552424,0.4507663412552424,0.0,0.0,0.0,934.2269517837184
150,2022-03-08,932.4084174940645,803.7505135769827,1043.4135768939732,932.4084174940645,932.4084174940645,-7.519975793920638,-7.519975793920638,-7.519975793920638,-7.519975793920638,-7.519975793920638,-7.519975793920638,0.0,0.0,0.0,924.8884417001439
151,2022-03-09,931.0406495456656,800.8842683590533,1055.2914700693375,931.0406495456656,931.0406495456656,-7.317853996947557,-7.317853996947557,-7.317853996947557,-7.317853996947557,-7.317853996947557,-7.317853996947557,0.0,0.0,0.0,923.7227955487181
152,2022-03-10,929.6728815972668,793.0371864353573,1032.3904339419228,929.6728815972668,929.6728815972668,-13.66896489991265,-13.66896489991265,-13.66896489991265,-13.66896489991265,-13.66896489991265,-13.66896489991265,0.0,0.0,0.0,916.0039166973542
153,2022-03-11,928.305113645161,791.3192775254538,1046.9130611313012,928.305113645161,928.305113645161,-16.94419050254016,-16.94419050254016,-16.94419050254016,-16.94419050254016,-16.94419050254016,-16.94419050254016,0.0,0.0,0.0,911.3609231426208
154,2022-03-14,924.2018097888433,799.9225048545178,1052.7695365530703,924.2018097888433,924.2018097888433,0.450766341324489,0.450766341324489,0.450766341324489,0.450766341324489,0.450766341324489,0.450766341324489,0.0,0.0,0.0,924.6525761301679
155,2022-03-15,922.8340418367375,799.6805909195303,1040.1914147984965,922.8340418367375,922.8340418367375,-7.519975793910553,-7.519975793910553,-7.519975793910553,-7.519975793910553,-7.519975793910553,-7.519975793910553,0.0,0.0,0.0,915.3140660428269
156,2022-03-16,921.4662738846316,798.0689386427077,1034.0424988281236,921.4662738846316,921.4662738846316,-7.317853996956253,-7.317853996956253,-7.317853996956253,-7.317853996956253,-7.317853996956253,-7.317853996956253,0.0,0.0,0.0,914.1484198876753
157,2022-03-17,920.0985059325258,787.4162585004916,1025.5461660919377,920.0985059325258,920.0985059325258,-13.668964899906014,-13.668964899906014,-13.668964899906014,-13.668964899906014,-13.668964899906014,-13.668964899906014,0.0,0.0,0.0,906.4295410326198
158,2022-03-18,918.7307379804199,774.7632828333784,1017.0663534948228,918.7307379804199,918.7307379804199,-16.944190502522364,-16.944190502522364,-16.944190502522364,-16.944190502522364,-16.944190502522364,-16.944190502522364,0.0,0.0,0.0,901.7865474778976
159,2022-03-21,914.6274341241023,795.6795466542206,1042.5858938202944,914.6274341241023,914.6274341241023,0.4507663413013316,0.4507663413013316,0.4507663413013316,0.4507663413013316,0.4507663413013316,0.4507663413013316,0.0,0.0,0.0,915.0782004654036
160,2022-03-22,913.2596661719963,788.7409213853707,1024.9369125521357,913.2596661719963,913.2596661719963,-7.519975793900467,-7.519975793900467,-7.519975793900467,-7.519975793900467,-7.519975793900467,-7.519975793900467,0.0,0.0,0.0,905.7396903780958
161,2022-03-23,911.8917531461459,778.9290392415908,1021.6117707237199,911.8917531461459,911.8917531461459,-7.317853996942221,-7.317853996942221,-7.317853996942221,-7.317853996942221,-7.317853996942221,-7.317853996942221,0.0,0.0,0.0,904.5738991492037
162,2022-03-24,910.5238401202954,766.4528200818992,1019.1026347199643,910.5238401202954,910.5238401202954,-13.668964899924946,-13.668964899924946,-13.668964899924946,-13.668964899924946,-13.668964899924946,-13.668964899924946,0.0,0.0,0.0,896.8548752203704
163,2022-03-25,909.155927094445,773.9264550096412,1017.5236619073426,909.155927094445,909.155927094445,-16.944190502601547,-16.944190502601547,-16.944190502601547,-16.944190502601547,-16.944190502601547,-16.944190502601547,0.0,0.0,0.0,892.2117365918434
164,2022-03-28,905.0521880168938,775.741293700354,1019.6114390538752,905.0521880168938,905.0521880168938,0.4507663412781737,0.4507663412781737,0.4507663412781737,0.4507663412781737,0.4507663412781737,0.4507663412781737,0.0,0.0,0.0,905.5029543581719
